Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Consonant_Pseudoword,Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct,Status,Method
chair,5,37,220.2279,7,27.6163,chare,mdbym,37,220.2279,10,71.0725,0.0,3,157.36,MATCHED,wuggy
stone,5,18,6.9662,12,15.1356,stoid,rqwpg,12,6.6176,2,13.098,5.0,-10,13.46,MATCHED,wuggy
brick,5,20,42.6882,9,11.2505,spick,jmtbl,18,42.4935,9,53.3355,0.46,0,374.07,MATCHED,wuggy
cloth,5,5,2.4784,5,1.0235,swoth,ysbgd,7,2.7703,1,1.451,11.78,-4,41.77,MATCHED,wuggy
tulip,5,1,1.1373,1,1.1373,tunup,trbwr,1,1.1569,1,1.1569,1.72,0,1.72,MATCHED,wuggy
flame,5,9,14.2331,7,15.1289,flaim,pckcy,9,14.2331,2,13.8333,0.0,-5,8.56,MATCHED,wuggy
block,5,17,20.4106,8,38.3162,blote,phzjq,12,20.1944,2,2.8039,1.06,-6,92.68,MATCHED,wuggy
scale,5,12,34.0735,6,11.3203,scail,xpymp,12,34.0735,2,7.7549,0.0,-4,31.5,MATCHED,wuggy
cable,5,11,25.4474,7,38.6219,jadle,xdvhv,3,25.4837,2,2.9118,0.14,-5,92.46,MATCHED,wuggy
brush,5,6,9.0131,5,13.0824,brude,xshjh,19,9.129,6,12.5327,1.29,1,4.2,MATCHED,wuggy
token,5,3,47.0784,4,35.5098,talen,wnwjy,3,46.6471,6,30.9477,0.92,2,12.85,MATCHED,wuggy
model,5,10,11.4412,5,6.8196,jowel,fdgsc,12,11.2908,5,6.6902,1.31,0,1.9,MATCHED,wuggy
frame,5,12,173.4444,4,6.3529,fraim,xlyly,12,173.4444,1,1.5882,0.0,-3,75.0,MATCHED,wuggy
fiber,5,5,46.7059,4,1.4902,buda,nfqmx,3,46.6994,2,18.6078,0.01,-2,1148.68,MATCHED,fallback
clock,5,21,8.1634,10,12.9255,clocs,qmsql,12,7.7696,4,15.6226,4.82,-6,20.87,MATCHED,wuggy
throne,6,11,18.6239,2,1.2353,throck,phglvy,5,18.5216,0,0.0,0.55,-2,100.0,MATCHED,wuggy
beacon,6,5,5.7647,2,7.3627,beaken,rjsbcp,5,5.7647,3,4.5294,0.0,1,38.48,MATCHED,wuggy
fabric,6,1,0.7451,1,0.7451,fetric,hspmdl,1,0.4902,1,0.4902,34.21,0,34.21,BEST_AVAILABLE,wuggy
dragon,6,1,4.549,2,2.4608,scalon,xwyjnc,1,4.5882,1,4.5882,0.86,-1,86.45,MATCHED,wuggy
clinic,6,2,1.951,1,0.98039,granic,cgbsxm,2,1.9607,0,0.0,0.5,-1,100.0,MATCHED,wuggy
helmet,6,1,2.0196,1,2.0196,herbet,bzjvql,2,2.3922,2,2.3922,18.45,1,18.45,MATCHED,wuggy
jungle,6,3,2.4052,3,2.4052,dundle,fsxpbh,2,2.3726,2,2.3726,1.36,-1,1.36,MATCHED,wuggy
marble,6,7,8.9132,1,3.0392,cabble,jqscgt,13,8.8673,5,5.1216,0.52,4,68.52,MATCHED,wuggy
signal,6,3,3.4837,1,9.5294,siscal,qmyhvz,3,0.9935,1,0.7647,71.48,0,91.98,BEST_AVAILABLE,wuggy
ticket,6,4,11.7794,5,9.6392,nocket,wgrvhm,7,11.4454,5,10.4118,2.84,0,8.01,MATCHED,wuggy
hazard,6,3,1.1961,1,0.62745,hacate,fvlxkb,1,1.098,2,0.7549,8.2,1,20.31,MATCHED,wuggy
napkin,6,1,2.5686,1,2.5686,napron,drkgbp,1,2.6667,1,2.6667,3.82,0,3.82,MATCHED,wuggy
manual,6,2,3.902,1,0.60784,pequal,mcwqpm,2,7.5686,1,13.3725,93.97,0,2100.0,BEST_AVAILABLE,wuggy
lizard,6,6,2.5229,2,5.951,ticard,ygyncx,2,1.7549,1,1.5294,30.44,-1,74.3,BEST_AVAILABLE,wuggy
kitten,6,8,16.8088,3,1.915,kidden,fnstsp,5,17.4824,3,8.0915,4.01,0,322.53,MATCHED,wuggy
blanket,7,1,5.098,1,5.098,blandit,jqjhbrq,1,3.7451,1,3.7451,26.54,0,26.54,BEST_AVAILABLE,wuggy
journal,7,5,23.8824,1,1.7843,torws,hlcfslz,1,23.8431,0,0.0,0.16,-1,100.0,MATCHED,fallback
monster,7,4,6.2892,3,4.0131,mandler,xrcvcwd,3,6.0262,2,1.6863,4.18,-1,57.98,MATCHED,wuggy
picture,7,4,18.6618,2,35.402,mecture,khbjrqb,1,10.4706,1,10.4706,43.89,-1,70.42,BEST_AVAILABLE,wuggy
machine,7,1,13.8627,1,13.8627,mawhile,svmzdjv,1,9.4706,1,9.4706,31.68,0,31.68,BEST_AVAILABLE,wuggy
village,7,1,0.60784,2,1.5098,vollard,mzfkvck,1,0.7451,1,0.7451,22.58,-1,50.65,BEST_AVAILABLE,wuggy
diamond,7,1,17.0392,1,17.0392,diraping,tktltbf,1,16.1961,0,0.0,4.95,-1,100.0,MATCHED,fallback
theater,7,2,1.1667,3,2.2222,baynair,nryfnvw,2,1.1666,0,0.0,0.0,-3,100.0,MATCHED,fallback
kitchen,7,2,2.7255,1,0.72549,gitcher,gfdzxwj,3,2.7582,1,3.2353,1.2,0,345.95,MATCHED,wuggy
mustard,7,3,1.3725,1,1.2549,mestart,rmyhrfh,1,0.5882,1,0.5882,57.14,0,53.12,BEST_AVAILABLE,wuggy
cartoon,7,2,2.3529,2,2.3529,bartian,dthfsyp,3,2.2484,1,1.7255,4.44,-1,26.66,MATCHED,wuggy
surface,7,2,2.6765,2,0.78431,sunfair,glfkgmw,1,9.8431,1,9.8431,267.76,-1,1155.0,BEST_AVAILABLE,wuggy
network,7,1,2.1176,1,2.1176,netroit,mvfprsz,1,10.549,1,10.549,398.16,0,398.16,BEST_AVAILABLE,wuggy
dolphin,7,1,3.9608,1,3.9608,dorphan,gdxwpsp,2,4.4608,1,5.7451,12.62,0,45.05,MATCHED,wuggy
elephant,8,3,5.7582,1,4.3725,grunwing,pgfvwdgf,1,5.0784,1,5.0784,11.81,0,16.14,MATCHED,fallback
festival,8,2,1.3137,1,0.70588,prathits,wvhxqylw,1,1.1961,0,0.0,8.95,-1,100.0,MATCHED,fallback
perfume,7,2,0.61765,2,0.61765,ethowzing,gkhxzqp,1,0.6274,0,0.0,1.59,-2,100.0,MATCHED,fallback
mansion,7,2,30.0882,1,0.70588,hension,gtrzxmc,3,24.2876,2,6.696,19.28,1,848.61,MATCHED,wuggy
biscuit,7,1,3.2745,1,3.2745,hircuit,xqpkbcj,2,3.9216,1,6.6667,19.76,0,103.59,MATCHED,wuggy
monument,8,1,0.90196,1,0.90196,idsishenz,fckmpzhy,1,0.9216,0,0.0,2.17,-1,100.0,MATCHED,fallback
koala,5,1,5.5294,0,0.0,kuano,yzxby,13,3.724,1,0.3922,32.65,1,0.0,BEST_AVAILABLE,wuggy
cigar,5,1,6.6667,1,6.6667,bicar,cwxbz,18,6.4978,1,1.4706,2.53,0,77.94,MATCHED,wuggy
nylon,5,2,0.89216,2,0.89216,nison,gyvks,2,0.9608,2,2.3627,7.69,0,164.83,MATCHED,wuggy
mango,5,3,2.183,3,2.5686,matso,nvydn,2,2.1765,3,1.7713,0.3,0,31.04,MATCHED,wuggy
dagger,5,5,1.5529,3,16.5556,vagged,kqsfc,3,1.5294,5,1.3451,1.51,2,91.88,MATCHED,wuggy
bonnet,5,1,0.76471,2,0.58824,donset,cyvds,1,0.8431,1,0.8431,10.26,-1,43.33,MATCHED,wuggy
parlor,5,6,4.6046,1,0.52941,panzh,fqdsl,5,4.6039,0,0.0,0.01,-1,100.0,MATCHED,fallback
violin,5,1,1.0588,1,1.0588,tyodin,hbzmt,1,1.2157,0,0.0,14.82,-1,100.0,MATCHED,wuggy
pellet,5,3,0.6732,2,0.53921,callet,hkdfx,3,0.5817,6,63.0882,13.59,4,11600.12,MATCHED,wuggy
lobster,7,2,1.4902,2,1.4902,tobbler,lpdwzwv,2,1.5588,1,2.3333,4.6,-1,56.58,MATCHED,wuggy
trumpet,7,2,0.66667,2,0.66667,trunket,vybwnpw,1,0.7059,1,0.7059,5.88,-1,5.88,MATCHED,wuggy
