Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Pseudoword Length (Ortho),Consonant_Pseudoword,Consonant_Pseudoword Length (Ortho),Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct,Status,Method
chair,5,37,220.2279,7,27.6163,chare,5,mdbym,5,37,220.2279,10,71.0725,0,3,157.36,MATCHED,wuggy
stone,5,18,6.9662,12,15.1356,stoid,5,rqwpg,5,12,6.6176,2,13.098,5,-10,13.46,MATCHED,wuggy
pearl,5,30,35.051,5,5.8039,peard,5,trbwr,5,27,34.6042,5,83.6667,1.27,0,1341.56,MATCHED,wuggy
cloth,5,5,2.4784,5,1.0235,swoth,5,ysbgd,5,7,2.7703,1,1.451,11.78,-4,41.77,MATCHED,wuggy
tulip,5,1,1.1373,1,1.1373,tunup,5,trbwr,5,1,1.1569,1,1.1569,1.72,0,1.72,MATCHED,wuggy
flame,5,9,14.2331,7,15.1289,flaim,5,pckcy,5,9,14.2331,2,13.8333,0,-5,8.56,MATCHED,wuggy
block,5,17,20.4106,8,38.3162,blote,5,phzjq,5,12,20.1944,2,2.8039,1.06,-6,92.68,MATCHED,wuggy
scale,5,12,34.0735,6,11.3203,scail,5,xpymp,5,12,34.0735,2,7.7549,0,-4,31.5,MATCHED,wuggy
cable,5,11,25.4474,7,38.6219,jadle,5,xdvhv,5,3,25.4837,2,2.9118,0.14,-5,92.46,MATCHED,wuggy
brush,5,6,9.0131,5,13.0824,brude,5,xshjh,5,19,9.129,6,12.5327,1.29,1,4.2,MATCHED,wuggy
token,5,3,47.0784,4,35.5098,talen,5,wnwjy,5,3,46.6471,6,30.9477,0.92,2,12.85,MATCHED,wuggy
model,5,10,11.4412,5,6.8196,jowel,5,fdgsc,5,12,11.2908,5,6.6902,1.31,0,1.9,MATCHED,wuggy
frame,5,12,173.4444,4,6.3529,fraim,5,xlyly,5,12,173.4444,1,1.5882,0,-3,75,MATCHED,wuggy
throne,6,11,18.6239,2,1.2353,throck,6,phglvy,6,5,18.5216,0,0,0.55,-2,100,MATCHED,wuggy
beacon,6,5,5.7647,2,7.3627,beaken,6,rjsbcp,6,5,5.7647,3,4.5294,0,1,38.48,MATCHED,wuggy
fabric,6,1,0.7451,1,0.7451,fetric,6,hspmdl,6,1,0.4902,1,0.4902,34.21,0,34.21,BEST_AVAILABLE,wuggy
dragon,6,1,4.549,2,2.4608,scalon,6,xwyjnc,6,1,4.5882,1,4.5882,0.86,-1,86.45,MATCHED,wuggy
clinic,6,2,1.951,1,0.98039,granic,6,cgbsxm,6,2,1.9607,0,0,0.5,-1,100,MATCHED,wuggy
helmet,6,1,2.0196,1,2.0196,herbet,6,bzjvql,6,2,2.3922,2,2.3922,18.45,1,18.45,MATCHED,wuggy
jungle,6,3,2.4052,3,2.4052,dundle,6,fsxpbh,6,2,2.3726,2,2.3726,1.36,-1,1.36,MATCHED,wuggy
marble,6,7,8.9132,1,3.0392,cabble,6,jqscgt,6,13,8.8673,5,5.1216,0.52,4,68.52,MATCHED,wuggy
signal,6,3,3.4837,1,9.5294,siscal,6,qmyhvz,6,3,0.9935,1,0.7647,71.48,0,91.98,BEST_AVAILABLE,wuggy
ticket,6,4,11.7794,5,9.6392,nocket,6,wgrvhm,6,7,11.4454,5,10.4118,2.84,0,8.01,MATCHED,wuggy
hazard,6,3,1.1961,1,0.62745,hacate,6,fvlxkb,6,1,1.098,2,0.7549,8.2,1,20.31,MATCHED,wuggy
napkin,6,1,2.5686,1,2.5686,napron,6,drkgbp,6,1,2.6667,1,2.6667,3.82,0,3.82,MATCHED,wuggy
manual,6,2,3.902,1,0.60784,pequal,6,mcwqpm,6,2,7.5686,1,13.3725,93.97,0,2100,BEST_AVAILABLE,wuggy
lizard,6,6,2.5229,2,5.951,ticard,6,ygyncx,6,2,1.7549,1,1.5294,30.44,-1,74.3,BEST_AVAILABLE,wuggy
blanket,7,1,5.098,1,5.098,blandit,7,jqjhbrq,7,1,3.7451,1,3.7451,26.54,0,26.54,BEST_AVAILABLE,wuggy
monster,7,4,6.2892,3,4.0131,mandler,7,xrcvcwd,7,3,6.0262,2,1.6863,4.18,-1,57.98,MATCHED,wuggy
picture,7,4,18.6618,2,35.402,mecture,7,khbjrqb,7,1,10.4706,1,10.4706,43.89,-1,70.42,BEST_AVAILABLE,wuggy
machine,7,1,13.8627,1,13.8627,mawhile,7,svmzdjv,7,1,9.4706,1,9.4706,31.68,0,31.68,BEST_AVAILABLE,wuggy
village,7,1,0.60784,2,1.5098,vollard,7,mzfkvck,7,1,0.7451,1,0.7451,22.58,-1,50.65,BEST_AVAILABLE,wuggy
kitchen,7,2,2.7255,1,0.72549,gitcher,7,gfdzxwj,7,3,2.7582,1,3.2353,1.2,0,345.95,MATCHED,wuggy
mustard,7,3,1.3725,1,1.2549,mestart,7,rmyhrfh,7,1,0.5882,1,0.5882,57.14,0,53.12,BEST_AVAILABLE,wuggy
cartoon,7,2,2.3529,2,2.3529,bartian,7,dthfsyp,7,3,2.2484,1,1.7255,4.44,-1,26.66,MATCHED,wuggy
network,7,1,2.1176,1,2.1176,netroit,7,mvfprsz,7,1,10.549,1,10.549,398.16,0,398.16,BEST_AVAILABLE,wuggy
dolphin,7,1,3.9608,1,3.9608,dorphan,7,gdxwpsp,7,2,4.4608,1,5.7451,12.62,0,45.05,MATCHED,wuggy
mansion,7,2,30.0882,1,0.70588,hension,7,gtrzxmc,7,3,24.2876,2,6.696,19.28,1,848.61,MATCHED,wuggy
biscuit,7,1,3.2745,1,3.2745,hircuit,7,xqpkbcj,7,2,3.9216,1,6.6667,19.76,0,103.59,MATCHED,wuggy
koala,5,1,5.5294,0,0,kuano,5,yzxby,5,13,3.724,1,0.3922,32.65,1,0,BEST_AVAILABLE,wuggy
cigar,5,1,6.6667,1,6.6667,bicar,5,cwxbz,5,18,6.4978,1,1.4706,2.53,0,77.94,MATCHED,wuggy
nylon,5,2,0.89216,2,0.89216,nison,5,gyvks,5,2,0.9608,2,2.3627,7.69,0,164.83,MATCHED,wuggy
mango,5,3,2.183,3,2.5686,matso,5,nvydn,5,2,2.1765,3,1.7713,0.3,0,31.04,MATCHED,wuggy
dagger,5,5,1.5529,3,16.5556,vagged,5,kqsfc,5,3,1.5294,5,1.3451,1.51,2,91.88,MATCHED,wuggy
bonnet,5,1,0.76471,2,0.58824,donset,5,cyvds,5,1,0.8431,1,0.8431,10.26,-1,43.33,MATCHED,wuggy
violin,5,1,1.0588,1,1.0588,tyodin,5,hbzmt,5,1,1.2157,0,0,14.82,-1,100,MATCHED,wuggy
pellet,5,3,0.6732,2,0.53921,callet,5,hkdfx,5,3,0.5817,6,63.0882,13.59,4,11600.12,MATCHED,wuggy
lobster,7,2,1.4902,2,1.4902,tobbler,7,lpdwzwv,7,2,1.5588,1,2.3333,4.6,-1,56.58,MATCHED,wuggy
trumpet,7,2,0.66667,2,0.66667,trunket,7,vybwnpw,7,1,0.7059,1,0.7059,5.88,-1,5.88,MATCHED,wuggy
kitten,6,8,16.8088,3,1.915,kidden,6,fnstsp,6,5,17.4824,3,8.0915,4.01,0,322.53,MATCHED,wuggy
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,PTAF,OTAF,PTAN,OTAN,,,,,,,,,,,,,,
words,16.0024996,7.4451846,5.46,2.76,,,,,,,,,,,,,,
pseudowords,15.7381,8.844588,5.72,5.502294,,,,,,,,,,,,,,
P-value of T-test,0.9730087713,0.6246425915,0.8575624352,0.1755896305,,,,,,,,,,,,,,
