Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF
chair,5,37,220.2279,7,27.6163
stone,5,18,6.9662,12,15.1356
brick,5,20,42.6882,9,11.2505
cloth,5,5,2.4784,5,1.0235
tulip,5,1,1.1373,1,1.1373
flame,5,9,14.2331,7,15.1289
block,5,17,20.4106,8,38.3162
scale,5,12,34.0735,6,11.3203
cable,5,11,25.4474,7,38.6219
brush,5,6,9.0131,5,13.0824
token,5,3,47.0784,4,35.5098
model,5,10,11.4412,5,6.8196
frame,5,12,173.4444,4,6.3529
fiber,5,5,46.7059,4,1.4902
clock,5,21,8.1634,10,12.9255
throne,6,11,18.6239,2,1.2353
beacon,6,5,5.7647,2,7.3627
fabric,6,1,0.7451,1,0.7451
dragon,6,1,4.549,2,2.4608
clinic,6,2,1.951,1,0.98039
helmet,6,1,2.0196,1,2.0196
jungle,6,3,2.4052,3,2.4052
marble,6,7,8.9132,1,3.0392
signal,6,3,3.4837,1,9.5294
ticket,6,4,11.7794,5,9.6392
hazard,6,3,1.1961,1,0.62745
napkin,6,1,2.5686,1,2.5686
manual,6,2,3.902,1,0.60784
lizard,6,6,2.5229,2,5.951
kitten,6,8,16.8088,3,1.915
blanket,7,1,5.098,1,5.098
journal,7,5,23.8824,1,1.7843
monster,7,4,6.2892,3,4.0131
picture,7,4,18.6618,2,35.402
machine,7,1,13.8627,1,13.8627
village,7,1,0.60784,2,1.5098
diamond,7,1,17.0392,1,17.0392
theater,7,2,1.1667,3,2.2222
kitchen,7,2,2.7255,1,0.72549
mustard,7,3,1.3725,1,1.2549
cartoon,7,2,2.3529,2,2.3529
surface,7,2,2.6765,2,0.78431
network,7,1,2.1176,1,2.1176
dolphin,7,1,3.9608,1,3.9608
elephant,8,3,5.7582,1,4.3725
festival,8,2,1.3137,1,0.70588
perfume,7,2,0.61765,2,0.61765
mansion,7,2,30.0882,1,0.70588
biscuit,7,1,3.2745,1,3.2745
monument,8,1,0.90196,1,0.90196
MEAN,,,17.890201,,
T-test,,,0.6289302272,,
