Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct,Status,Method
chair,5,37,220.2279,7,27.6163,chacs,37,8148.4315,3,12.3922,0.0,-4,85.04,MATCHED,wuggy
stone,5,18,6.9662,12,15.1356,stosk,18,125.3923,2,27.1177,0.0,-10,10.42,MATCHED,wuggy
brick,5,20,42.6882,9,11.2505,briud,20,853.7647,0,0.0,0.0,-9,100.0,MATCHED,wuggy
cloth,5,5,2.4784,5,1.0235,cloit,5,12.3921,3,3.3921,0.0,-2,10.48,MATCHED,wuggy
tulip,5,1,1.1373,1,1.1373,tubic,2,1.2353,3,2.5883,45.69,2,24.14,BEST_AVAILABLE,wuggy
flame,5,9,14.2331,7,15.1289,flaks,9,128.0981,9,14.5294,0.0,2,89.33,MATCHED,wuggy
block,5,17,20.4106,8,38.3162,vtock,17,346.9806,2,26.4118,0.0,-6,65.53,MATCHED,wuggy
scale,5,12,34.0735,6,11.3203,scaks,12,408.8824,3,6.8432,0.0,-3,79.85,MATCHED,wuggy
cable,5,11,25.4474,7,38.6219,cafla,11,279.9217,0,0.0,0.0,-7,100.0,MATCHED,wuggy
brush,5,6,9.0131,5,13.0824,bruft,6,54.0785,1,0.4902,0.0,-4,96.25,MATCHED,wuggy
token,5,3,47.0784,4,35.5098,tofan,3,141.2353,0,0.0,0.0,-4,100.0,MATCHED,wuggy
model,5,10,11.4412,5,6.8196,mulel,10,114.4117,3,9.8431,0.0,-2,51.89,MATCHED,wuggy
frame,5,12,173.4444,4,6.3529,fraks,12,2081.3332,2,10.2157,0.0,-2,19.6,MATCHED,wuggy
fiber,5,5,46.7059,4,1.4902,sgaird,3,139.1177,0,0.0,0.71,-4,100.0,MATCHED,fallback
clock,5,21,8.1634,10,12.9255,clohl,21,171.4314,0,0.0,0.0,-10,100.0,MATCHED,wuggy
throne,6,11,18.6239,2,1.2353,throit,11,204.8626,1,36.0196,0.0,-1,2815.86,MATCHED,wuggy
beacon,6,5,5.7647,2,7.3627,beanin,5,28.8235,1,1.5294,0.0,-1,79.23,MATCHED,wuggy
fabric,6,1,0.7451,1,0.7451,faydic,1,0.7451,0,0.0,0.0,-1,100.0,MATCHED,wuggy
dragon,6,1,4.549,2,2.4608,drexon,1,4.549,0,0.0,0.0,-2,100.0,MATCHED,wuggy
clinic,6,2,1.951,1,0.98039,cloniz,2,3.902,0,0.0,0.0,-1,100.0,MATCHED,wuggy
helmet,6,1,2.0196,1,2.0196,hetdet,1,2.0196,0,0.0,0.0,-1,100.0,MATCHED,wuggy
jungle,6,3,2.4052,3,2.4052,jendle,3,7.2157,0,0.0,0.0,-3,100.0,MATCHED,wuggy
marble,6,7,8.9132,1,3.0392,manple,7,62.3922,2,5.3922,0.0,1,11.29,MATCHED,wuggy
signal,6,3,3.4837,1,9.5294,sildal,3,10.451,0,0.0,0.0,-1,100.0,MATCHED,wuggy
ticket,6,4,11.7794,5,9.6392,tushet,4,47.1176,0,0.0,0.0,-5,100.0,MATCHED,wuggy
hazard,6,3,1.1961,1,0.62745,haxack,3,3.5882,0,0.0,0.0,-1,100.0,MATCHED,wuggy
napkin,6,1,2.5686,1,2.5686,nadcin,1,2.5686,0,0.0,0.0,-1,100.0,MATCHED,wuggy
manual,6,2,3.902,1,0.60784,munyat,2,7.8039,0,0.0,0.0,-1,100.0,MATCHED,wuggy
lizard,6,6,2.5229,2,5.951,lixack,6,15.1373,0,0.0,0.0,-2,100.0,MATCHED,wuggy
kitten,6,8,16.8088,3,1.915,killen,8,134.4706,2,352.9019,0.0,-1,9114.15,MATCHED,wuggy
blanket,7,1,5.098,1,5.098,blarfet,1,5.098,0,0.0,0.0,-1,100.0,MATCHED,wuggy
journal,7,5,23.8824,1,1.7843,jeerdal,5,119.4118,0,0.0,0.0,-1,100.0,MATCHED,wuggy
monster,7,4,6.2892,3,4.0131,menprer,4,25.1568,0,0.0,0.0,-3,100.0,MATCHED,wuggy
picture,7,4,18.6618,2,35.402,piffure,4,74.6471,0,0.0,0.0,-2,100.0,MATCHED,wuggy
machine,7,1,13.8627,1,13.8627,machent,1,13.8627,0,0.0,0.0,-1,100.0,MATCHED,wuggy
village,7,1,0.60784,2,1.5098,vellays,1,0.6078,0,0.0,0.0,-2,100.0,MATCHED,wuggy
diamond,7,1,17.0392,1,17.0392,dievond,1,17.0392,0,0.0,0.0,-1,100.0,MATCHED,wuggy
theater,7,2,1.1667,3,2.2222,gairvow,1,1.1569,0,0.0,0.84,-3,100.0,MATCHED,fallback
kitchen,7,2,2.7255,1,0.72549,kanchen,2,5.451,0,0.0,0.0,-1,100.0,MATCHED,wuggy
mustard,7,3,1.3725,1,1.2549,mustine,3,4.1176,0,0.0,0.0,-1,100.0,MATCHED,wuggy
cartoon,7,2,2.3529,2,2.3529,cancoon,2,4.7059,0,0.0,0.0,-2,100.0,MATCHED,wuggy
surface,7,2,2.6765,2,0.78431,surfole,2,5.3529,0,0.0,0.0,-2,100.0,MATCHED,wuggy
network,7,1,2.1176,1,2.1176,nedworn,1,2.1176,0,0.0,0.0,-1,100.0,MATCHED,wuggy
dolphin,7,1,3.9608,1,3.9608,dotplin,1,3.9608,0,0.0,0.0,-1,100.0,MATCHED,wuggy
elephant,8,3,5.7582,1,4.3725,elecrite,3,17.2745,0,0.0,0.0,-1,100.0,MATCHED,wuggy
festival,8,2,1.3137,1,0.70588,fottijal,2,2.6275,0,0.0,0.0,-1,100.0,MATCHED,wuggy
perfume,7,2,0.61765,2,0.61765,perpame,2,1.2353,0,0.0,0.0,-2,100.0,MATCHED,wuggy
mansion,7,2,30.0882,1,0.70588,marlion,2,60.1765,1,1.6667,0.0,0,136.12,MATCHED,wuggy
biscuit,7,1,3.2745,1,3.2745,bispeet,1,3.2745,0,0.0,0.0,-1,100.0,MATCHED,wuggy
monument,8,1,0.90196,1,0.90196,menucant,1,0.902,0,0.0,0.0,-1,100.0,MATCHED,wuggy
